"Sl
No",Name,City,State,Rank
1,Indian Institute of Technology Madras,Chennai,Tamil Nadu,1
2,Indian Institute of Technology Delhi,New Delhi,Delhi,2
3,Indian Institute of Technology Bombay,Mumbai,Maharashtra,3
4,Indian Institute of Technology Kanpur,Kanpur,Uttar Pradesh,4
5,Indian Institute of Technology Kharagpur,Kharagpur,West Bengal,5
6,Indian Institute of Technology Roorkee,Roorkee,Uttarakhand,6
7,Indian Institute of Technology Guwahati,Guwahati,Assam,7
8,Indian Institute of Technology Hyderabad,Hyderabad,Telangana,8
9,National Institute of Technology Tiruchirappalli,Tiruchirappalli,Tamil Nadu,9
10,Indian Institute of Technology (Banaras Hindu University) Varanasi,Varanasi,Uttar Pradesh,10
11,Vellore Institute of Technology,Vellore,Tamil Nadu,11
12,Jadavpur University,Kolkata,West Bengal,12
13,S.R.M. Institute of Science and Technology,Chennai,Tamil Nadu,13
14,Anna University,Chennai,Tamil Nadu,14
15,Indian Institute of Technology (Indian School of Mines) Dhanbad,Dhanbad,Jharkhand,15
16,Indian Institute of Technology Indore,Indore,Madhya Pradesh,16
17,"National Institute of Technology Karnataka, Surathkal",Surathkal,Karnataka,17
18,Indian Institute of Technology Gandhinagar,Gandhinagar,Gujarat,18
19,National Institute of Technology Rourkela,Rourkela,Odisha,19
20,"Birla Institute of Technology and Science, Pilani",Pilani,Rajasthan,20
21,National Institute of Technology Warangal,Warangal,Telangana,21
22,Indian Institute of Technology Ropar,Rupnagar,Punjab,22
23,Amrita Vishwa Vidyapeetham,Coimbatore,Tamil Nadu,23
24,Jamia Millia Islamia,New Delhi,Delhi,24
25,National Institute of Technology Calicut,Kozhikode,Kerala,25
26,Siksha `O` Anusandhan,Bhubaneswar,Odisha,26
27,Delhi Technological University,New Delhi,Delhi,27
28,Indian Institute of Technology Jodhpur,Jodhpur,Rajasthan,28
29,Thapar Institute of Engineering and Technology (Deemed-to-be-university),Patiala,Punjab,29
30,Amity University,Gautam Budh Nagar,Uttar Pradesh,30
31,Indian Institute of Technology Mandi,Mandi,Himachal Pradesh,31
32,Chandigarh University,Mohali,Punjab,32
33,Aligarh Muslim University,Aligarh,Uttar Pradesh,33
34,Indian Institute of Technology Patna,Patna,Bihar,34
35,Koneru Lakshmaiah Education Foundation University (K L College of Engineering),Vaddeswaram,Andhra Pradesh,35
36,Kalasalingam Academy of Research and Education,Srivilliputhur,Tamil Nadu,36
37,Kalinga Institute of Industrial Technology,Bhubaneswar,Odisha,37
38,Shanmugha Arts Science Technology and Research Academy,Thanjavur,Tamil Nadu,38
39,Visvesvaraya National Institute of Technology Nagpur,Nagpur,Maharashtra,39
40,National Institute of Technology Silchar,Silchar,Assam,40
41,Institute of Chemical Technology,Mumbai,Maharashtra,41
42,UPES,Dehradun,Uttarakhand,42
43,Malaviya National Institute of Technology,Jaipur,Rajasthan,43
44,National Institute of Technology Durgapur,Durgapur,West Bengal,44
45,National Institute of Technology Delhi,Delhi,Delhi,45
46,Sri Sivasubramaniya Nadar College of Engineering,Kalavakkam,Tamil Nadu,46
47,International Institute of Information Technology Hyderabad,Hyderabad,Telangana,47
48,Birla Institute of Technology,Ranchi,Jharkhand,48
49,"Indian Institute of Engineering Science and Technology, Shibpur",Howrah,West Bengal,49
50,Lovely Professional University,Phagwara,Punjab,50
51,Indian Institute of Space Science and Technology,Thiruvananthapuram,Kerala,51
52,Graphic Era University,Dehradun,Uttarakhand,52
53,Saveetha Institute of Medical and Technical Sciences,Chennai,Tamil Nadu,53
54,Indian Institute of Technology Bhubaneswar,Bhubaneswar,Odisha,54
55,National Institute of Technology Patna,Patna,Bihar,55
56,Manipal Institute of Technology,Manipal,Karnataka,56
57,Netaji Subhas University of Technology (NSUT),Delhi,Delhi,57
58,Dr. B R Ambedkar National Institute of Technology Jalandhar,Jalandhar,Punjab,58
59,Sardar Vallabhbhai National Institute of Technology,Surat,Gujarat,59
60,Motilal Nehru National Institute of Technology,Prayagraj,Uttar Pradesh,60
61,Indian Institute of Technology Tirupati,Yerpedu,Andhra Pradesh,61
62,Indian Institute of Technology Jammu,Jammu,Jammu and Kashmir,62
63,Defence Institute of Advanced Technology,Pune,Maharashtra,63
64,Indian Institute of Technology Palakkad,Palakkad,Kerala,64
65,"Manipal University, Jaipur",Jaipur,Rajasthan,64
66,Sathyabama Institute of Science and Technology,Chennai,Tamil Nadu,66
67,PSG College of Technology,Coimbatore,Tamil Nadu,67
68,National Institute of Technology Meghalaya,Shillong,Meghalaya,68
69,Visvesvaraya Technological University,Belgaum,Karnataka,69
70,University of Hyderabad,Hyderabad,Telangana,70
71,National Institute of Technology Raipur,Raipur,Chhattisgarh,71
72,Maulana Azad National Institute of Technology,Bhopal,Madhya Pradesh,72
73,Indian Institute of Technology Bhilai,Raipur,Chhattisgarh,73
74,International Institute of Information Technology Bangalore,Bengaluru,Karnataka,74
75,M. S. Ramaiah Institute of Technology,Bengaluru,Karnataka,75
76,Sant Longowal Institute of Engineering and Technology,Longowal,Punjab,76
77,COEP Technological University,Pune,Maharashtra,77
78,Banasthali Vidyapith,Banasthali,Rajasthan,78
79,National Institute of Technology Srinagar,Srinagar,Jammu and Kashmir,79
80,Rajiv Gandhi Institute of Petroleum Technology,Amethi,Uttar Pradesh,80
81,National Institute of Technology Kurukshetra,Kurukshetra,Haryana,81
82,National Institute of Technology Agartala,Agratala,Tripura,82
83,Sri Krishna College of Engineering and Technology,Coimbatore,Tamil Nadu,83
84,Madan Mohan Malaviya University of Technology,Gorakhpur,Uttar Pradesh,84
85,Indraprastha Institute of Information Technology,New Delhi,Delhi,85
86,Vel Tech Rangarajan Dr. Sagunthala R & D Institute of Science and Technology,Chennai,Tamil Nadu,86
87,Indian Institute of Information Technology Allahabad,Prayagraj,Uttar Pradesh,87
88,Jawaharlal Nehru Technological University,Hyderabad,Telangana,88
89,Guru Gobind Singh Indraprastha University,New Delhi,Delhi,89
90,AU College of Engineering (A),Visakhapatnam,Andhra Pradesh,90
91,"Vignan's Foundation for Science, Technology and Research",Guntur,Andhra Pradesh,91
92,Shoolini University of Biotechnology and Management Sciences,Solan,Himachal Pradesh,92
93,Christ University,Bengaluru,Karnataka,93
94,Chitkara University,Rajpura,Punjab,94
95,"Jain University, Bangalore",Bengaluru,Karnataka,95
96,"C.V. Raman Global University, Odisha",Bhubaneswar,Odisha,96
97,National Institute of Technology Puducherry,Karaikal,Pondicherry,97
98,SR University,Warangal,Telangana,98
99,R.V. College of Engineering,Bengaluru,Karnataka,99
