College_Name,Course,City,State,University,Average_Fees,Rating,NIRF_Rank,Institute_Type,NBA_Accreditation,NAAC_Accreditation,Website,Course_Category,Affordability_Score,Quality_Score,Overall_Score,Affordability_Tier,Quality_Tier,Ranking_Tier
Koneru Lakshmaiah Education Foundation University (K L College of Engineering),BIOTECHNOLOGY,Vaddeswaram,Andhra Pradesh,Not Available,0.0,0.0,35.0,Private,Not Available,Not Available,-,Chemical & Biotechnology,,58.4,58.4,Not Available,Average,Top 50
Koneru Lakshmaiah Education Foundation University (K L College of Engineering),CIVIL ENGINEERING,Vaddeswaram,Andhra Pradesh,Not Available,0.0,0.0,35.0,Private,Not Available,Not Available,-,Civil Engineering,,58.4,58.4,Not Available,Average,Top 50
Koneru Lakshmaiah Education Foundation University (K L College of Engineering),COMPUTER SCIENCE & ENGINEERING,Vaddeswaram,Andhra Pradesh,Not Available,0.0,0.0,35.0,Private,Not Available,Not Available,-,Computer Science & IT,,58.4,58.4,Not Available,Average,Top 50
Koneru Lakshmaiah Education Foundation University (K L College of Engineering),ELECTRICAL AND ELECTRONICS ENGINEERING,Vaddeswaram,Andhra Pradesh,Not Available,0.0,0.0,35.0,Private,Not Available,Not Available,-,Electronics & Communication,,58.4,58.4,Not Available,Average,Top 50
Koneru Lakshmaiah Education Foundation University (K L College of Engineering),ELECTRONICS & COMMUNICATION ENGG,Vaddeswaram,Andhra Pradesh,Not Available,0.0,0.0,35.0,Private,Not Available,Not Available,-,Electronics & Communication,,58.4,58.4,Not Available,Average,Top 50
Koneru Lakshmaiah Education Foundation University (K L College of Engineering),ELECTRONICS AND COMPUTER ENGINEERING,Vaddeswaram,Andhra Pradesh,Not Available,0.0,0.0,35.0,Private,Not Available,Not Available,-,Computer Science & IT,,58.4,58.4,Not Available,Average,Top 50
Koneru Lakshmaiah Education Foundation University (K L College of Engineering),INDUSTRIAL AND PRODUCTION ENGINEERING,Vaddeswaram,Andhra Pradesh,Not Available,0.0,0.0,35.0,Private,Not Available,Not Available,-,Mechanical Engineering,,58.4,58.4,Not Available,Average,Top 50
Koneru Lakshmaiah Education Foundation University (K L College of Engineering),INFORMATION SCIENCE AND TECHNOLOGY,Vaddeswaram,Andhra Pradesh,Not Available,0.0,0.0,35.0,Private,Not Available,Not Available,-,Other Engineering,,58.4,58.4,Not Available,Average,Top 50
Koneru Lakshmaiah Education Foundation University (K L College of Engineering),MECHANICAL ENGINEERING,Vaddeswaram,Andhra Pradesh,Not Available,0.0,0.0,35.0,Private,Not Available,Not Available,-,Mechanical Engineering,,58.4,58.4,Not Available,Average,Top 50
Aditya Engineering College,AGRICULTURAL ENGINEERING,Surampalem,Andhra Pradesh,"Jawaharlal Nehru Technological University, Kakinada",163440.0,0.0,,Private - Autonomous,No,No,www.aec.edu.in,Agriculture & Food Tech,67.312,20.0,38.9,Affordable,Below Average,Not Ranked
PACE Institute of Technology and Sciences,AUTOMOBILE ENGINEERING,Valluru,Andhra Pradesh,"Jawaharlal Nehru Technological University, Kakinada",150812.5,0.0,,Private,No,No,www.pace.ac.in,Mechanical Engineering,69.8375,20.0,39.9,Affordable,Below Average,Not Ranked
Sri Venkateswara College of Engineering and Technology,AUTOMOBILE ENGINEERING,Tirupati,Andhra Pradesh,"Jawaharlal Nehru Technological University, Anantapur",184629.41176470587,3.08,,Private,No,Not Available,www.svcetedu.or g,Mechanical Engineering,63.07411764705883,20.0,37.2,Affordable,Below Average,Not Ranked
Aditya College of Engineering,CIVIL ENGINEERING,Surampalem,Andhra Pradesh,"Jawaharlal Nehru Technological University, Kakinada",150500.0,2.72,,Private,No,No,www.acem.ac.in,Civil Engineering,69.9,20.0,40.0,Affordable,Below Average,Not Ranked
Sri Vasavi Engineering College,CIVIL ENGINEERING,West Godavari,Andhra Pradesh,"Jawaharlal Nehru Technological University, Kakinada",151764.70588235295,3.18,,Private,No,No,www.srivasavien gg.ac,Civil Engineering,69.6470588235294,41.8,52.9,Affordable,Average,Not Ranked
RISE Krishna Sai Gandhi Group of Institutions,CIVIL ENGINEERING,Valluru,Andhra Pradesh,"Jawaharlal Nehru Technological University, Kakinada",117250.0,0.0,,Private,No,No,www.risegroup.e du.in,Civil Engineering,76.55,20.0,42.6,Affordable,Below Average,Not Ranked
RISE Krishna Sai Prakasam Group of Institutions,CIVIL ENGINEERING,Valluru,Andhra Pradesh,"Jawaharlal Nehru Technological University, Kakinada",118214.28571428572,0.0,,Private,No,No,www.risegroup.e du.in,Civil Engineering,76.35714285714286,20.0,42.5,Affordable,Below Average,Not Ranked
PES College of Engineering,CIVIL ENGINEERING,Mandya,Karnataka,"Visvesvaraya Technological University, Belagavi",127875.0,2.99,,Private,No,No,"www.sircrrengg.a
 c.in",Civil Engineering,74.425,20.0,41.8,Affordable,Below Average,Not Ranked
Krishna Chaitanya Institute of Technology and Sciences,CIVIL ENGINEERING,Idupur,Andhra Pradesh,"Jawaharlal Nehru Technological University, Kakinada",149000.0,0.0,,Private,No,No,www.kits- anna.com,Civil Engineering,70.2,20.0,40.1,Affordable,Below Average,Not Ranked
