College_Name,Course,City,State,University,Average_Fees,Rating,NIRF_Rank,Institute_Type,NBA_Accreditation,NAAC_Accreditation,Website
Aditya Engineering College,AGRICULTURAL ENGINEERING,Surampalem,Andhra Pradesh,"Jawaharlal Nehru Technological University, Kakinada",163440.0,0,,Private - Autonomous,No,No,www.aec.edu.in
PACE Institute of Technology and Sciences,AUTOMOBILE ENGINEERING,Valluru,Andhra Pradesh,"Jawaharlal Nehru Technological University, Kakinada",150812.5,0,,Private,No,No,www.pace.ac.in
Sri Venkateswara College of Engineering and Technology,AUTOMOBILE ENGINEERING,Tirupati,Andhra Pradesh,"Jawaharlal Nehru Technological University, Anantapur",184629.41176470587,3.08,,Private,No,Not Available,www.svcetedu.or g
Aditya College of Engineering,CIVIL ENGINEERING,Surampalem,Andhra Pradesh,"Jawaharlal Nehru Technological University, Kakinada",150500.0,2.72,,Private,No,No,www.acem.ac.in
Sri Vasavi Engineering College,CIVIL ENGINEERING,West Godavari,Andhra Pradesh,"Jawaharlal Nehru Technological University, Kakinada",151764.70588235295,3.18,,Private,No,No,www.srivasavien gg.ac
RISE Krishna Sai Gandhi Group of Institutions,CIVIL ENGINEERING,Valluru,Andhra Pradesh,"Jawaharlal Nehru Technological University, Kakinada",117250.0,0,,Private,No,No,www.risegroup.e du.in
RISE Krishna Sai Prakasam Group of Institutions,CIVIL ENGINEERING,Valluru,Andhra Pradesh,"Jawaharlal Nehru Technological University, Kakinada",118214.28571428572,0,,Private,No,No,www.risegroup.e du.in
PES College of Engineering,CIVIL ENGINEERING,Mandya,Karnataka,"Visvesvaraya Technological University, Belagavi",127875.0,2.99,,Private,No,No,"www.sircrrengg.a
 c.in"
Krishna Chaitanya Institute of Technology and Sciences,CIVIL ENGINEERING,Idupur,Andhra Pradesh,"Jawaharlal Nehru Technological University, Kakinada",149000.0,0,,Private,No,No,www.kits- anna.com
Vishnu Institute of Technology,CIVIL ENGINEERING,Bhimavaram,Andhra Pradesh,"Jawaharlal Nehru Technological University, Kakinada",248754.54545454544,3.51,,Private,No,No,www.vishnu.edu.i n
Ramachandra College of Engineering,CIVIL ENGINEERING,Kokkirapadu,Andhra Pradesh,"Jawaharlal Nehru Technological University, Kakinada",151499.99999999997,0,,Private,No,No,www.rcee.ac.in
